,Both course,"Over fence OB, on/across entry road OB, water casual "
Hole,Distance,OB
1,257,String line
2,424,
3,294,String line
4,260,
5,259,
6,252,
7,645,String line / Mando left, DZ is short pad"
8,302,String line
9,210,Island Green. Miss island go to DZ. Normal OB from DZ and island 
10,267,String line (from hole 8)
11,270,
12,382,
13,405,
A,230,
14,387,
15,225,
16,310,
17,220,
18,395,String line
,,
,,
Hole,Distance,OB
1,346,String line
2,489,
3,347,String line
4,260,
5,294,
6,340,
7,764,String line / Mando left, DZ is short pad"
8,341,String line
9,260,Island Green. Miss island go to DZ. Normal OB from DZ and island 
10,294,String line (from hole 8)
11,335,
12,530,
13,480,
A,230,
14,450,
15,250,
16,355,
17,265,
18,468,String line
,,
,,
Hole,Distance,OB
1,435,
2,306,On/across sidewalk
3,156,
4,252,On/across sidewalk / string line
5,189,
6,240,
7,285,
8,219,String line
9,260,
10,306,
11,195,String line
12,315,
13,250,String line
14,198,
15,282,Island Green. Miss island go to DZ. Normal OB from DZ and island 
16,369,String line
17,215,
18,565,
19,300,Wood fence is NOT OB
,,
,,
Hole,Distance,OB
1,465,
2,285,On/across sidewalk
3,168,
4,276,On/across sidewalk stringline
5,258,
6,297,
7,354,
8,276,String line
9,370,
10,297,
11,320,String line
12,415,
13,306,String line
14,253,
15,270,Island Green. Miss island go to DZ. Normal OB from DZ and island 
16,393,String line
17,240,
18,595,
19,300,Wood fence is NOT OB
