Alpha Short to Gold,,,
Hole,Par,Length,Notes
1,3,260,Parking lot OB
2,4,467,Must land inbounds beyond stringline. OB go to drop zone. Water OB.
3,3,279,OB left of stringline. Fence OB
4,3,250,fence OB
5,3,255,fence OB
6,3,252,fence OB
7,4,647,OB inside stringline. Fence OB.
8,4,399,OB inside stringline
9,3,260,Island Green. Miss = Drop Zone. Normal OB from DZ and island
10,3,276,Stringline OB
11,3,285,
12,4,434,Stringline OB
13,4,475,Fence OB
14,3,325,
15,3,222,
16,3,300,On/Across road OB
17,3,212,
18,4,400,Road/Parking lot OB
,60,5998,
,,,
Alpha Long to Gold,,,
Hole,Par,Length,Notes
1,3,350,Parking lot OB
2,4,528,Must land inbounds beyond stringline. OB go to drop zone. Water OB.
3,3,333,OB left of stringline Fence OB
4,3,250,fence OB
5,3,290,fence OB
6,3,318,fence OB
7,4,771,OB inside stringline. Fence OB. Mando. If disc touches restricted space, drop zone is short pad
8,4,447,OB inside stringline
9,3,260,Island Green. Miss = Drop Zone. Normal OB from DZ and island
10,3,300,Stringline OB
11,3,345,
12,4,575,Stringline OB
13,4,550,Fence OB
14,3,430,
15,3,250,
16,3,340,On/Across road OB
17,3,260,
18,4,470,Road/Parking lot OB
,60,7067,
,,,
Barwick Red,,,
Hole,Par,Length,Notes
1,3,318,Water OB
2,3,156,
3,3,230,
4,3,285,On/across sidewalk OB
5,3,169,
6,3,228,On/across sidewalk OB
7,3,210,Beyond string line OB
8,3,190,Beyond string line OB
9,3,165,Fence OB
10,3,275,Island Green. Miss = Drop Zone. Normal OB from DZ and island
11,3,311,Fence OB. On/Across Road OB. Beyond string line OB
12,3,258,Inside stringline OB. Fence OB
13,3,255,Fence OB
14,3,270,
15,3,215,Drop zone if you land in water (no penalty)
16,3,220,On/over road OB
17,4,450,Stringline OB
18,3,156,Stringline OB
,55,4361,
,,,
Barwick Gold,,,
Hole,Par,Length,Notes
1,3,390,Water OB
2,3,210,
3,3,300,
4,3,321,On/across sidewalk OB
5,3,192,
6,3,240,On/across sidewalk OB
7,3,215,Beyond string line OB
8,3,230,Beyond string line OB
9,3,191,Fence OB
10,3,267,Island Green. Miss = Drop Zone. Normal OB from DZ and island
11,3,356,Fence OB. On/Across Road OB. Beyond string line OB
12,3,306,Inside stringline OB. Fence OB
13,3,295,Fence OB
14,3,300,
15,3,240,Drop zone if you land in water (no penalty)
16,3,228,On/over road OB
17,4,495,Stringline OB
18,3,195,Stringline OB
,55,4971,
