"Over chain link fences OB, Water casual unless noted otherwise ",,,,,
ALL GOLD BASKETS ,,,,,
Hole,Par,Short ,Long ,Sunday Position,Notes 
1,3,209,263,,Marked area left is OB
2,3,220,240,,
3,3,222,300,,Right side of fairway marked OB
4,4,357,392,450/485,No penalty drop zone if you land in string line. On/over sidewalk OB
5,3,210,237,,
6,3,250,250,,On/over sidewalk OB
7,3,210,283,,"Beyond flags OB. Mando left of marked tree, drop zone is short pad "
8,3,248,304,296/352,Road is NOT OB
9,3,330,394,,Beyond flags marking parking/road
10,3,283,332,334/385,Road/over OB
11,3,322,344,,Road and driveway marked OB
12,3,297,327,,
13,3,200,212,,Beyond marked area OB
14,3,205,249,,Island Green. Tee shot must land on island or go to DZ. OB from island or DZ: normal OB
15,3,242,295,,
16,5,715,938,,All marked areas OB.
17,3,247,295,,Sidewalk NOT OB
18,4,435,627,,Marked area OB and water OB
