"Over chain link fences OB, Water casual unless noted otherwise ",,,,,
ALL RED BASKETS ,,,,,
Hole,Par,Short ,Long ,Sunday Position,Notes 
1,3,210,300,,
2,4,392,458,367/433,
3,3,283,338,,Left side of fairway marked OB
4,3,224,224,,
5,3,173,210,213/247,
6,3,255,359,,
7,3,,423,,"All divisions play long pad. Mando left of marked tree (DZ is short pad) , Flagged area OB"
8,3,235,275,,Flagged area OB
9,3,185,238,,Island Green. Tee shot must land on island or go to DZ. OB from island or DZ: normal OB
10,3,260,285,,No penalty drop zone if disc lands in water
11,3,230,294,,
12,4/3,400,530,283/359,
13,3,220,293,,
14,3,,318,,All divisions play long pad
15,3,225,250,,
16,3,257,302,,On/over road OB
17,3,192,242,,
18,3,400,472,,Parking area marked OB
