"Over chain link fences OB, Water casual unless noted otherwise ",,,,,
ALL RED BASKETS ,,,,,
Hole,Par,Short ,Long ,Sunday Position,Notes 
1,3,179,233,,Marked area left is OB
2,3,240,270,,
3,3,165,265,,Right side of fairway marked OB
4,4/3,325,360,280/315,Water got to drop zone (No penalty). On/over sidewalk OB (w/ penalty)
5,3,162,210,,
6,3,215,215,,On/over sidewalk OB
7,3,180,253,,"Mando left of marked tree, drop zone is short pad. Beyond flags OB."
8,3,248,304,,Road is NOT OB
9,3,232,355,,Road/over OB
10,3,264,315,,Beyond flags OB
11,3,289,311,183/205,Road and driveway marked OB
12,3,280,320,,
13,3,175,187,,Beyond marked are OB
14,3,210,270,,Island Green. Tee shot must land on island or go to DZ. OB from island or DZ: normal OB
15,3,200,253,,
16,4,673,905,470/695,Marked area OB
17,3,147,207,,Sidewalk NOT OB
18,3,285,477,,Marked area OB and water OB
