"Over chain link fences OB, Water casual unless noted otherwise ",,,,,
ALL GOLD BASKETS ,,,,,
Hole,Par,Short ,Long ,Sunday Position,Notes 
1,3,261,347,,
2,4,407,473,,
3,3,302,357,,Left side of fairway marked OB
4,3,260,260,,
5,3,266,300,,
6,3,315,420,,
7,4,645,777,,"Mando left of marked tree (DZ is short pad) , Flagged area OB"
8,3/4,300,340,410/550,Flagged area OB
9,3,206,259,,Island Green. Tee shot must land on island or go to DZ. OB from island or DZ: normal OB
10,3,275,300,,No penalty drop zone if disc lands in water
11,3,275,339,270/334,
12,4,450,580,,
13,4,467,540,,
14,4,387,444,,
15,3,280,305,305/330,
16,3,308,354,,On/over road OB
17,3,215,265,,
18,3,410,482,,Parking area marked OB
